index,open,high,low,close,volume,amount,date
1482,6448.67,6462.374,6255.703,6346.137,14604158100,172077242710.0,2021-01-29
1483,6338.645,6397.014,6328.335,6393.278,13732518300,157579284924.0,2021-02-01
1484,6404.853,6459.479,6361.088,6454.785,13239431300,161720464851.0,2021-02-02
1485,6459.664,6484.493,6399.332,6399.332,14545715500,175699413269.0,2021-02-03
1486,6375.672,6414.298,6249.531,6328.788,14886133000,173708935489.0,2021-02-04
1487,6343.83,6382.957,6236.268,6239.871,13513287900,162500626708.0,2021-02-05
1488,6247.919,6354.02,6215.729,6323.162,11613400400,141592202723.0,2021-02-08
1489,6334.417,6468.428,6330.792,6457.881,11931911000,146850922948.0,2021-02-09
1490,6474.75,6542.745,6424.721,6525.166,11904265900,150035763540.0,2021-02-10
1491,6657.307,6678.613,6564.306,6614.544,16689239200,194996422146.0,2021-02-18
1492,6600.246,6706.39,6542.782,6703.482,17876781700,201468755510.0,2021-02-19
1493,6731.505,6810.922,6657.056,6657.056,23706558500,259948295725.0,2021-02-22
1494,6613.602,6701.43,6609.078,6631.229,19265686600,206144665096.0,2021-02-23
1495,6633.282,6661.433,6477.751,6536.186,17371883200,196797835530.0,2021-02-24
1496,6600.206,6609.563,6484.555,6499.153,16206818200,171451163369.0,2021-02-25
1497,6365.738,6446.946,6346.133,6364.353,15076020600,163655502841.0,2021-02-26
1498,6407.164,6491.937,6404.889,6488.439,15860843700,165792208050.0,2021-03-01
1499,6514.021,6514.021,6386.49,6433.328,16587706900,174025453383.0,2021-03-02
1500,6426.037,6528.222,6420.207,6524.751,17101752400,169667464343.0,2021-03-03
1501,6482.787,6485.164,6371.73,6401.992,19433461600,192657769865.0,2021-03-04
1502,6325.751,6442.016,6319.532,6403.497,16650488500,163666502404.0,2021-03-05
1503,6453.78,6488.819,6253.697,6256.409,16854633900,177120047000.0,2021-03-08
1504,6235.314,6250.935,6033.408,6108.003,19643268600,181888459397.0,2021-03-09
1505,6164.768,6179.854,6053.019,6062.255,14255427900,135611236326.0,2021-03-10
1506,6074.334,6213.934,6045.549,6213.832,16081464300,149412660863.0,2021-03-11
1507,6231.485,6232.5,6137.99,6222.38,17574617800,160346945988.0,2021-03-12
1508,6192.299,6229.572,6111.357,6173.872,17079969100,150564929107.0,2021-03-15
1509,6176.068,6222.182,6124.777,6195.244,15284599200,138852788600.0,2021-03-16
1510,6180.893,6230.559,6124.05,6225.359,13484039600,125106921645.0,2021-03-17
1511,6231.193,6300.945,6227.192,6273.855,14072566500,137984965631.0,2021-03-18
1512,6195.253,6258.132,6167.507,6206.603,14323827500,143898488143.0,2021-03-19
1513,6208.932,6307.548,6206.081,6305.692,14304144500,138484393049.0,2021-03-22
1514,6307.98,6307.98,6181.134,6219.167,15096405200,144085644480.0,2021-03-23
1515,6180.313,6232.131,6131.823,6142.544,14767311100,137684570622.0,2021-03-24
1516,6118.87,6190.938,6108.261,6157.407,12930709300,122101589125.0,2021-03-25
1517,6164.824,6264.555,6164.824,6251.794,12888761000,130405073059.0,2021-03-26
1518,6269.999,6277.765,6215.798,6254.942,13963389400,137607136707.0,2021-03-29
1519,6239.47,6287.874,6217.327,6280.359,13440958400,138902652261.0,2021-03-30
1520,6277.696,6277.696,6205.938,6254.069,12512849200,124539602405.0,2021-03-31
1521,6259.414,6321.58,6238.308,6311.665,13037481800,124971608810.0,2021-04-01
1522,6316.556,6341.654,6291.714,6326.606,12393887100,125309449744.0,2021-04-02
1523,6345.891,6367.785,6323.242,6343.096,11148915800,115979707861.0,2021-04-06
1524,6350.378,6350.378,6289.065,6348.076,15001677500,139659141225.0,2021-04-07
1525,6332.926,6385.195,6309.123,6356.752,17374127800,147432805257.0,2021-04-08
1526,6345.29,6360.45,6307.656,6335.239,14130690000,127539220387.0,2021-04-09
1527,6325.264,6344.162,6203.569,6226.418,15544143900,142018338674.0,2021-04-12
1528,6210.223,6254.897,6193.809,6209.78,13038770900,116032381971.0,2021-04-13
1529,6206.637,6287.838,6206.637,6277.211,11743821700,107282816416.0,2021-04-14
1530,6263.628,6281.426,6211.66,6276.461,11977617600,111582123999.0,2021-04-15
1531,6283.862,6344.946,6276.432,6339.591,12676465300,119984627678.0,2021-04-16
1532,6331.709,6431.777,6315.083,6425.261,14220093000,144720530842.0,2021-04-19
1533,6419.731,6467.38,6410.278,6428.541,13467452300,143364748864.0,2021-04-20
1534,6396.272,6434.63,6369.77,6420.259,12105173300,128354894323.0,2021-04-21
1535,6444.284,6472.804,6424.754,6445.466,12492387700,131906162234.0,2021-04-22
1536,6445.516,6463.975,6412.987,6462.756,12611730600,135170990908.0,2021-04-23
1537,6480.3,6546.643,6437.19,6442.645,14496413900,166586765812.0,2021-04-26
1538,6434.613,6466.252,6399.436,6446.282,12589471200,138320089612.0,2021-04-27
1539,6433.099,6489.744,6410.317,6489.744,11723494300,136377845946.0,2021-04-28
1540,6495.646,6502.425,6453.52,6491.928,12830543900,145502311777.0,2021-04-29
1541,6470.353,6503.154,6434.73,6485.708,14425423900,163746329855.0,2021-04-30
1542,6503.601,6548.065,6440.331,6489.349,15414198100,167436128821.0,2021-05-06
1543,6505.575,6524.18,6439.895,6444.443,17751874900,177915642406.0,2021-05-07
1544,6461.418,6493.497,6437.107,6475.994,18908013400,180906623674.0,2021-05-10
1545,6436.292,6472.87,6349.787,6456.038,18726361100,175350134125.0,2021-05-11
1546,6434.914,6521.488,6419.737,6512.05,15649093000,150127199439.0,2021-05-12
1547,6448.96,6496.997,6426.576,6439.027,15965864600,155853650960.0,2021-05-13
1548,6454.679,6525.804,6421.208,6525.804,16624340700,163611264403.0,2021-05-14
1549,6521.886,6613.895,6521.886,6578.14,15936375800,172029261941.0,2021-05-17
1550,6578.971,6604.685,6558.778,6599.599,13250549100,141986530241.0,2021-05-18
1551,6582.104,6590.981,6544.841,6584.387,13518125500,146346354189.0,2021-05-19
1552,6541.093,6580.437,6506.408,6548.711,16232992300,167135804361.0,2021-05-20
1553,6557.488,6570.457,6512.806,6527.864,13435069500,145990149052.0,2021-05-21
1554,6515.833,6564.071,6494.616,6544.122,13722661200,150739211897.0,2021-05-24
1555,6549.344,6628.693,6524.303,6619.671,14469203600,158035570948.0,2021-05-25
1556,6631.366,6642.38,6612.423,6628.207,15623700300,169904624510.0,2021-05-26
1557,6629.237,6685.483,6620.72,6685.405,14516667600,164642448242.0,2021-05-27
1558,6699.284,6718.09,6643.644,6668.169,15731838500,176611765480.0,2021-05-28
1559,6681.55,6729.074,6667.258,6728.991,14692949300,176728706904.0,2021-05-31
1560,6718.643,6742.979,6656.664,6739.762,16109195700,185038576025.0,2021-06-01
1561,6740.503,6748.151,6662.751,6681.429,15736532000,174265553758.0,2021-06-02
1562,6680.105,6744.518,6654.455,6667.727,15488569100,167598938400.0,2021-06-03
1563,6642.06,6725.686,6628.006,6693.058,13786640400,161257142655.0,2021-06-04
1564,6705.736,6729.845,6689.702,6721.502,14056089600,174154017266.0,2021-06-07
1565,6726.087,6752.626,6652.391,6684.563,13868494700,169906611640.0,2021-06-08
1566,6677.138,6712.252,6656.055,6692.905,13651103400,155486113451.0,2021-06-09
1567,6688.819,6773.456,6683.494,6765.644,15428096400,177003017372.0,2021-06-10
1568,6773.642,6775.863,6717.272,6725.915,16956960700,194413370189.0,2021-06-11
1569,6734.095,6736.537,6649.204,6663.662,15220925000,166359279930.0,2021-06-15
1570,6659.494,6662.778,6554.893,6566.286,13680787700,152269456251.0,2021-06-16
1571,6554.301,6618.503,6554.301,6616.174,12449256200,143795950501.0,2021-06-17
1572,6610.266,6671.881,6587.035,6657.764,13802258100,161540069487.0,2021-06-18
1573,6652.653,6722.984,6638.517,6707.176,14303117200,174776560667.0,2021-06-21
1574,6723.298,6748.965,6691.821,6739.794,14654349700,170147487109.0,2021-06-22
1575,6741.577,6803.974,6720.582,6789.946,15530960900,184582044261.0,2021-06-23
1576,6791.861,6791.861,6743.327,6754.866,14504652200,172627659566.0,2021-06-24
1577,6748.866,6824.858,6739.016,6813.414,15148565900,174329254834.2,2021-06-25
1578,6814.317,6843.519,6802.858,6828.516,14550405000,175447981607.0,2021-06-28
1579,6833.057,6835.048,6756.916,6765.42,13662572200,167622236942.0,2021-06-29
1580,6767.742,6812.38,6757.34,6808.183,12540616100,155031841223.0,2021-06-30
1581,6827.697,6827.697,6716.666,6716.666,13835081100,168199910262.0,2021-07-01
1582,6701.064,6718.505,6651.485,6658.045,13647228700,162302314385.0,2021-07-02
1583,6670.126,6716.147,6663.544,6711.014,13473472100,165135856954.0,2021-07-05
1584,6727.967,6747.847,6633.615,6709.499,14501795400,183569347568.0,2021-07-06
1585,6661.854,6765.434,6642.571,6764.132,14764695200,176266750638.0,2021-07-07
1586,6774.845,6797.077,6740.85,6748.654,15956454300,203043021691.0,2021-07-08
1587,6721.609,6814.653,6683.786,6804.539,16610700400,204576733419.0,2021-07-09
1588,6852.476,6926.758,6840.018,6904.382,19356104400,239883545712.0,2021-07-12
1589,6901.812,6961.975,6889.026,6961.848,17962084300,223831191046.0,2021-07-13
1590,6953.822,6973.615,6898.75,6898.75,17173544800,214904536798.0,2021-07-14
1591,6874.805,6936.579,6828.482,6932.406,17322110800,205199287273.0,2021-07-15
1592,6931.051,6992.834,6922.346,6925.123,18490785800,221559303997.0,2021-07-16
1593,6912.098,6931.144,6856.65,6889.337,16973481800,208077102433.0,2021-07-19
1594,6831.051,6901.133,6825.822,6901.132,14014063000,171140493693.0,2021-07-20
1595,6923.612,6998.285,6922.92,6984.542,16300927100,204939577753.0,2021-07-21
1596,6996.255,7026.734,6960.297,7026.548,19023331600,219500277016.0,2021-07-22
1597,7036.298,7061.667,6968.307,6985.75,22507907400,253751241897.0,2021-07-23
1598,6974.109,6986.497,6778.497,6868.208,20819723900,242702241755.0,2021-07-26
1599,6877.442,6925.971,6719.256,6719.256,22861433900,266957981725.0,2021-07-27
1600,6650.152,6709.226,6534.918,6621.984,19726716600,222466408799.0,2021-07-28
1601,6720.616,6773.567,6682.119,6758.887,17101788500,209142006694.0,2021-07-29
1602,6739.754,6775.006,6702.511,6767.316,18971173400,222514805286.0,2021-07-30
1603,6756.813,6875.416,6731.776,6872.0,20620517300,249640208610.0,2021-08-02
1604,6844.37,6879.593,6792.712,6816.011,19418943200,237723020657.0,2021-08-03
1605,6814.084,6931.781,6813.228,6931.336,17406434700,216189753229.0,2021-08-04
1606,6920.939,6946.335,6880.69,6911.829,17937188500,226672383898.0,2021-08-05
1607,6929.022,6947.536,6885.647,6938.868,17235691200,214958730457.0,2021-08-06
1608,6914.322,6989.706,6877.195,6979.525,17383337100,210955642886.0,2021-08-09
1609,6970.826,7019.686,6958.805,7019.229,17308796200,222660420410.0,2021-08-10
1610,7024.769,7076.373,6999.933,7073.522,18835790600,221759523190.0,2021-08-11
1611,7059.467,7115.887,7051.013,7095.203,19407912500,226074875243.0,2021-08-12
1612,7070.471,7124.921,7050.305,7088.888,19219060400,221865974676.0,2021-08-13
1613,7087.58,7102.396,7039.103,7052.488,18817888600,222080461698.0,2021-08-16
1614,7045.755,7063.018,6876.499,6894.404,20193637200,226553000298.0,2021-08-17
1615,6883.266,6950.885,6865.066,6941.008,17536733100,191997407328.0,2021-08-18
1616,6917.509,6978.983,6869.292,6947.057,17181358900,194992915174.0,2021-08-19
1617,6915.018,6952.519,6843.002,6920.025,17562713900,205135637760.0,2021-08-20
1618,6949.333,7031.884,6949.333,7024.565,18945660800,216299530693.2,2021-08-23
1619,7031.648,7098.029,7009.69,7090.782,20272689500,236479323512.0,2021-08-24
1620,7092.147,7153.274,7058.571,7153.004,19812689000,228737398900.0,2021-08-25
1621,7151.53,7175.512,7115.845,7118.844,23017619600,255363535500.0,2021-08-26
1622,7096.655,7185.728,7083.211,7180.109,22383046300,258997827230.0,2021-08-27
